Ch1 Amplitude,Ch2 Amplitude,Cluster
235.274857,562.127136,1
804.1444,627.284546,1
822.5777,588.3907,1
830.2563,596.1548,1
852.2136,1053.78625,1
853.0214,569.5364,1
861.4532,653.748535,1
865.9183,579.0406,1
871.75415,692.9073,1
872.307434,702.198,1
884.0055,653.259766,1
890.1907,593.593262,1
892.696045,621.6466,1
895.9495,1671.29773,1
896.017334,613.290161,1
897.1864,615.4599,1
898.804932,648.848633,1
900.7763,598.5332,1
901.309937,631.7416,1
901.350647,590.974365,1
902.455261,641.0852,1
904.7224,616.578552,1
905.36676,681.0219,1
906.41626,578.9608,1
907.731445,645.569458,1
910.192444,635.914734,1
910.9148,642.8053,1
913.9195,572.0442,1
916.1733,627.8019,1
917.038,604.628357,1
918.7132,678.2811,1
920.2636,662.0633,1
920.451233,596.5352,1
922.8024,645.941,1
923.865356,870.0855,1
924.416565,668.3832,1
926.266052,633.438,1
927.9765,671.577332,1
928.19104,677.096863,1
928.954346,668.9028,1
929.5217,632.6864,1
930.0314,672.421631,1
930.5338,783.328369,1
931.2201,585.962769,1
932.0549,587.561646,1
932.5735,687.2415,1
932.6906,641.2177,1
933.6824,693.723755,1
933.7506,619.1583,1
934.6797,642.194458,1
935.2203,676.352356,1
936.221741,685.765,1
936.6289,692.2163,1
938.600037,617.8628,1
939.3466,628.043335,1
939.442932,590.634,1
940.811768,664.8479,1
944.418335,2538.41016,1
944.876465,616.712769,1
946.293152,617.4392,1
946.4364,693.6321,1
946.489563,576.814148,1
948.3236,694.195251,1
949.8215,626.006958,1
950.1339,673.036,1
950.490845,643.681,1
953.0336,641.9263,1
954.100342,641.784546,1
954.5586,701.3507,1
954.8225,664.371033,1
955.1838,681.736145,1
955.459961,729.514038,1
955.588257,726.754639,1
955.8726,628.120056,1
956.4154,630.9596,1
956.7491,627.789734,1
957.296143,659.2909,1
957.9904,683.9566,1
958.2897,598.053467,1
958.6523,631.038452,1
959.3231,616.3838,1
959.6509,674.666748,1
960.1284,623.7802,1
960.5482,636.437439,1
961.3951,724.212341,1
961.4906,686.9173,1
962.2927,678.9684,1
962.6824,599.300232,1
963.1422,678.902832,1
963.4158,794.7201,1
963.4751,540.532654,1
964.9183,729.3261,1
964.9511,645.7183,1
966.4527,646.3937,1
968.1401,579.2718,1
968.9164,630.085,1
970.8046,602.5153,1
971.9775,1182.2135,1
972.173645,678.5948,1
973.4945,713.819763,1
974.1845,687.282837,1
976.188538,739.256653,1
976.361633,734.534,1
976.502,744.395,1
977.060852,755.9617,1
977.0998,639.237854,1
977.1195,682.5537,1
979.1654,2747.516,1
980.6286,762.3865,1
980.8001,768.2992,1
981.658142,703.319336,1
981.8439,681.340332,1
982.105957,687.6235,1
982.501465,692.870544,1
983.6674,702.8845,1
984.9528,736.6744,1
985.3975,714.349548,1
985.459961,598.178955,1
987.025452,722.1008,1
989.789734,968.771,1
990.2476,743.053467,1
992.126831,645.7289,1
992.8974,609.197144,1
993.624451,697.574951,1
993.6576,810.0926,1
994.1823,681.7594,1
994.270142,636.066833,1
994.318,581.8502,1
994.554,715.0451,1
994.6925,742.050964,1
994.8408,749.306641,1
994.903564,669.660156,1
994.959656,672.686768,1
995.310669,817.7805,1
996.7484,665.4138,1
999.4571,839.222,1
1000.24683,666.005249,1
1001.13416,571.2508,1
1001.38934,651.566345,1
1002.41827,627.5754,1
1002.46094,731.9351,1
1002.67505,2293.25732,1
1003.29919,716.5707,1
1004.05896,707.448364,1
1004.28864,610.0655,1
1004.518,1874.49146,1
1005.33777,648.0564,1
1005.90692,716.631,1
1005.97595,801.5917,1
1007.17657,672.716064,1
1007.45972,747.187256,1
1007.90479,786.1654,1
1008.2948,764.1566,1
1008.42542,684.6904,1
1009.13745,729.846436,1
1009.35565,714.6061,1
1009.48651,694.1962,1
1010.78467,704.0085,1
1011.23328,814.917664,1
1011.40717,607.433533,1
1011.69647,609.081055,1
1012.42169,745.612732,1
1013.533,736.878235,1
1013.68573,756.972961,1
1013.77917,791.754333,1
1014.31439,734.9618,1
1014.69708,774.296,1
1014.9718,659.153137,1
1015.61938,704.174866,1
1016.03723,747.393066,1
1016.43591,653.695557,1
1017.36682,648.665161,1
1017.46857,731.0123,1
1018.00409,697.515442,1
1018.52771,689.3134,1
1019.39368,634.186035,1
1019.83582,687.7389,1
1020.585,685.7968,1
1020.72644,713.5577,1
1020.74396,750.101746,1
1020.784,741.1054,1
1020.80743,685.915039,1
1020.93488,704.271362,1
1020.94574,730.109863,1
1020.97424,709.8669,1
1021.78162,703.855957,1
1022.42419,711.3648,1
1022.55426,778.4702,1
1022.85846,727.04,1
1023.07971,806.1103,1
1023.66278,631.954,1
1026.23047,770.5504,1
1026.30725,681.9417,1
1026.49646,752.0238,1
1028.02246,712.244934,1
1028.16711,791.6406,1
1028.63245,651.1226,1
1028.84717,834.142151,1
1029.03943,722.4003,1
1029.36548,911.1352,1
1030.15857,734.6101,1
1031.26318,682.789063,1
1031.37842,725.222046,1
1031.4447,2418.398,1
1031.616,738.21405,1
1031.83728,727.9506,1
1032.24182,651.8334,1
1032.35034,723.6189,1
1032.41785,738.1024,1
1033.06628,708.824341,1
1033.20825,671.881531,1
1033.72424,720.3244,1
1034.223,777.763733,1
1035.52856,656.5329,1
1038.2207,709.7601,1
1038.91345,808.201233,1
1039.93384,732.178833,1
1040.77539,844.5198,1
1041.67822,1772.14722,1
1042.40344,739.152954,1
1043.12354,690.182861,1
1043.17371,749.0982,1
1043.90356,770.982,1
1044.4718,752.0579,1
1044.83057,728.6524,1
1046.05457,624.1469,1
1046.11743,644.597,1
1046.96777,730.239136,1
1047.00269,749.3875,1
1047.09924,777.0271,1
1047.28735,733.6014,1
1047.95667,765.6385,1
1048.63489,757.0383,1
1049.47949,745.7677,1
1049.48572,633.1213,1
1050.13013,746.022,1
1050.1886,686.864746,1
1050.74609,724.9669,1
1051.44568,806.346558,1
1051.63257,602.246338,1
1051.80737,758.0115,1
1052.54871,735.6646,1
1052.57593,694.375061,1
1052.88721,755.947754,1
1054.312,774.0096,1
1054.98279,740.5294,1
1055.86243,723.697266,1
1055.89331,750.394,1
1056.09058,2601.7688,1
1056.80469,647.305,1
1057.30347,785.859436,1
1057.82092,730.208069,1
1058.32947,711.0321,1
1059.02661,661.1825,1
1059.38806,720.9015,1
1060.197,674.841736,1
1060.28052,675.1213,1
1060.47522,740.7431,1
1060.56653,778.8862,1
1060.57239,791.6825,1
1061.18237,667.1268,1
1061.26941,762.6087,1
1061.57739,733.411,1
1061.88135,692.820251,1
1062.04065,689.47,1
1062.51245,733.485046,1
1063.10718,724.140137,1
1063.11523,716.917664,1
1064.46741,705.7941,1
1065.5863,758.326965,1
1065.903,704.4043,1
1066.46826,678.6051,1
1067.02673,732.4708,1
1067.1488,741.101563,1
1069.99109,677.545959,1
1070.427,735.9914,1
1070.795,737.4626,1
1071.77625,816.444641,1
1072.85181,724.207336,1
1072.97046,660.187561,1
1073.40527,743.309937,1
1073.54944,652.595642,1
1073.72,749.504639,1
1073.85754,675.3115,1
1074.10168,1572.029,1
1075.11157,731.3182,1
1076.09,701.68634,1
