Ch1 Amplitude,Ch2 Amplitude,Cluster
1551.83838,741.090637,1
1560.8042,689.3512,1
1565.81909,764.8885,1
1573.80042,723.8424,1
1587.00574,717.471741,1
1590.31519,673.227844,1
1594.69507,651.617432,1
1600.40527,764.346558,1
1601.59717,716.98645,1
1603.6488,751.4566,1
1605.29724,731.415,1
1605.34058,757.8088,1
1605.99915,718.6229,1
1607.55859,772.6497,1
1608.91235,745.084351,1
1609.10608,735.46936,1
1609.80688,727.9326,1
1610.131,751.5909,1
1610.77722,724.2316,1
1612.14453,701.9876,1
1612.411,767.6747,1
1612.61926,695.5901,1
1614.11353,738.402,1
1614.29065,684.8933,1
1614.73547,680.6543,1
1614.86414,696.456543,1
1616.14514,738.8888,1
1616.52185,787.5118,1
1617.98621,738.800964,1
1618.439,622.3561,1
1619.03577,666.563232,1
1619.08911,724.198364,1
1619.16736,817.5629,1
1619.34534,730.9461,1
1619.73743,745.444153,1
1620.30542,749.667053,1
1620.366,728.223633,1
1620.6698,724.23175,1
1620.826,732.540955,1
1620.85266,739.999634,1
1621.02869,712.1795,1
1621.08569,758.66156,1
1621.48535,714.463,1
1621.88391,691.286133,1
1622.47327,786.6879,1
1622.75134,669.6302,1
1623.09656,751.2741,1
1623.09741,686.2392,1
1623.24072,737.0459,1
1623.34058,741.3845,1
1623.80713,724.562134,1
1624.22668,751.2236,1
1624.35059,729.723,1
1625.4541,703.598,1
1625.48352,662.016663,1
1626.33081,763.9946,1
1626.68933,719.6971,1
1626.79,698.605164,1
1626.8844,729.5744,1
1626.96741,756.8101,1
1628.08057,722.6277,1
1628.17529,666.0697,1
1628.666,758.3036,1
1628.74756,731.0922,1
1628.85,766.030762,1
1628.883,738.5732,1
1629.15271,660.693,1
1629.35742,654.9289,1
1629.39233,689.979858,1
1629.46045,756.4578,1
1629.50171,732.5591,1
1629.57324,683.425842,1
1629.89551,756.2125,1
1630.31628,704.1961,1
1630.635,730.243835,1
1630.73657,681.113342,1
1630.95825,649.3779,1
1630.95947,716.5265,1
1631.24451,709.557251,1
1631.79919,732.6743,1
1631.9104,707.5423,1
1631.98035,723.696045,1
1632.23267,759.5557,1
1632.33533,657.2944,1
1632.38611,739.499756,1
1632.676,710.404846,1
1632.79578,710.9315,1
1632.8064,664.975647,1
1633.00513,687.0033,1
1633.18811,680.681335,1
1633.20837,709.253052,1
1633.29285,676.916138,1
1633.4375,698.0684,1
1633.56018,675.7525,1
1633.63245,693.994,1
1633.78943,701.2471,1
1633.811,670.714661,1
1634.04041,678.1088,1
1634.1792,722.9241,1
1634.2793,816.5475,1
1634.3479,659.788635,1
1635.05945,722.882263,1
1635.1377,677.573364,1
1635.38989,788.905457,1
1635.50085,790.2394,1
1635.59485,738.206238,1
1635.874,740.3249,1
1636.10315,669.46875,1
1636.58,701.1913,1
1636.986,731.966553,1
1637.08154,703.140442,1
1637.32214,701.974548,1
1637.45886,701.4096,1
1637.6814,697.7277,1
1637.72107,637.24115,1
1637.80859,750.7498,1
1637.847,762.285,1
1637.91931,750.704468,1
1637.94312,665.057861,1
1637.99487,682.621948,1
1638.096,680.718445,1
1638.17029,732.312744,1
1638.1803,728.532349,1
1638.25073,734.3633,1
1638.296,669.731567,1
1638.51465,662.065,1
1638.51648,727.179749,1
1638.59424,708.0323,1
1638.62427,657.5101,1
1638.66187,640.882935,1
1638.73572,727.940247,1
1639.091,784.7361,1
1639.39673,782.656067,1
1639.45508,669.943359,1
1639.65186,736.402344,1
1639.98608,722.1203,1
1639.99915,712.520447,1
1640.09692,678.6311,1
1640.23669,743.6003,1
1640.24036,764.8069,1
1640.27307,701.6139,1
1640.34314,760.7461,1
1640.42847,758.6778,1
1640.66125,712.8905,1
1640.78259,737.4433,1
1640.86182,691.058044,1
1640.91968,738.3666,1
1640.99414,746.100647,1
1641.17664,657.2909,1
1641.241,698.5066,1
1641.35535,712.6159,1
1641.43347,761.639343,1
1641.55359,708.849243,1
1641.622,695.6337,1
1641.7594,700.967163,1
1641.76575,703.4762,1
1641.94336,799.9155,1
1641.98364,727.5802,1
1641.99976,639.2933,1
1642.14038,690.0286,1
1642.2113,685.7674,1
1642.25146,652.7479,1
1642.64917,761.024841,1
1642.68774,710.4528,1
1642.85767,695.510132,1
1642.89368,757.519043,1
1643.1106,715.1441,1
1643.12451,707.494751,1
1643.16968,734.8234,1
1643.31372,672.717163,1
1643.32019,759.9308,1
1643.40491,678.382446,1
1643.4574,685.1978,1
1643.46606,713.55426,1
1643.53711,770.5639,1
1643.566,732.462769,1
