Ch1 Amplitude,Ch2 Amplitude,Cluster
-115.854149,1701.02478,1
1316.16931,534.4867,1
1472.27246,542.8304,1
1481.32471,648.863464,1
1549.49463,677.069946,1
1553.31433,673.0445,1
1557.027,1068.534,1
1563.488,690.0062,1
1563.84839,734.3044,1
1567.20618,609.147,1
1571.71765,700.2813,1
1573.21826,604.5987,1
1582.06763,677.698669,1
1582.13611,777.682,1
1582.88611,735.4269,1
1584.54944,664.043152,1
1590.77393,667.879,1
1592.22791,641.7914,1
1593.68591,651.1227,1
1595.99524,666.281738,1
1596.35437,735.431335,1
1596.98682,706.9211,1
1597.91626,672.6525,1
1600.58362,717.6796,1
1601.0752,703.3878,1
1601.43835,733.2611,1
1601.71411,713.400757,1
1601.922,682.6627,1
1603.572,687.082947,1
1605.791,627.121338,1
1606.50623,625.7424,1
1607.17773,731.6495,1
1607.1897,659.7789,1
1607.43042,703.3287,1
1607.57837,703.976563,1
1607.71985,690.517456,1
1608.15576,752.1493,1
1608.34253,624.0597,1
1609.10693,585.9577,1
1609.77979,664.2118,1
1610.202,634.6587,1
1610.70947,710.406,1
1610.979,704.597,1
1611.486,685.7232,1
1611.88623,711.795349,1
1612.08179,728.798645,1
1612.16309,709.6699,1
1612.77563,666.359253,1
1612.87549,677.2701,1
1613.36621,730.840332,1
1613.78809,709.8022,1
1614.246,701.200134,1
1614.29321,683.4632,1
1614.38867,685.2893,1
1614.93152,676.8037,1
1615.84729,655.48175,1
1616.1875,688.5025,1
1616.32275,615.4239,1
1616.56238,676.3681,1
1616.7926,664.826355,1
1617.28711,672.204834,1
1618.88293,654.7468,1
1619.323,686.4235,1
1619.884,639.1885,1
1620.0238,653.089,1
1621.12561,727.048645,1
1621.191,654.790833,1
1621.31287,648.9768,1
1621.33618,667.201965,1
1621.53711,742.020569,1
1621.66821,759.0517,1
1621.782,743.6662,1
1622.3916,630.9683,1
1623.03,725.803467,1
1623.11475,704.3726,1
1623.25769,680.51886,1
1623.47107,672.738037,1
1623.71741,693.7909,1
1623.97717,680.491638,1
1624.12964,685.628357,1
1624.6167,691.219055,1
1625.18616,748.9121,1
1625.93347,712.5625,1
1626.05469,722.9393,1
1626.08167,726.561646,1
1626.21094,699.6749,1
