Ch1 Amplitude,Ch2 Amplitude,Cluster
558.8862,1146.98328,1
590.085,1170.67444,1
602.6566,844.1574,1
629.04126,1141.814,1
630.3154,990.8358,1
632.4299,1019.10168,1
636.081848,976.993164,1
638.4217,1068.82007,1
642.216431,1074.06348,1
650.7492,1095.86584,1
651.0855,973.3393,1
651.660339,1084.36279,1
654.4775,1089.41553,1
655.3332,1100.57,1
656.4736,1208.55945,1
656.9227,987.2263,1
657.1805,897.934753,1
657.240356,1078.44214,1
661.1304,1117.67822,1
661.2737,1076.604,1
662.421265,1101.90723,1
663.9718,1145.83569,1
664.071045,1387.011,1
664.0735,860.0995,1
664.1663,1066.035,1
664.7549,959.866638,1
664.9678,1170.37268,1
665.7267,1067.63318,1
665.936,981.644348,1
666.217346,898.034058,1
666.6016,1046.72314,1
669.501343,1036.42456,1
669.6373,1112.19556,1
670.1949,947.117554,1
670.9783,1023.97217,1
671.453552,1117.468,1
672.472656,927.4274,1
674.2189,1168.74353,1
675.4881,1006.54614,1
675.7941,1087.08862,1
675.811646,1092.02588,1
678.1121,1117.884,1
678.937439,1168.53992,1
679.547852,1029.62036,1
679.7523,1206.27478,1
679.7586,907.176636,1
680.5662,1154.97839,1
680.779358,1067.82031,1
681.3343,1022.63312,1
681.6275,1133.34839,1
682.4327,893.4919,1
682.5135,1040.16406,1
682.630249,1060.85144,1
683.880859,1187.84729,1
684.178345,1055.24292,1
684.253845,1100.41455,1
684.664,1051.85791,1
685.7013,1184.72974,1
685.973633,1117.83887,1
686.1797,1117.47314,1
686.2685,963.8536,1
686.5935,998.0088,1
687.6861,1170.46313,1
688.244934,997.8113,1
688.258,884.6577,1
688.351257,1055.05945,1
688.466064,1017.79858,1
688.756653,1167.43225,1
688.777954,1058.905,1
688.895447,1157.2323,1
689.3781,1145.94287,1
689.625549,1041.46655,1
689.651062,1082.422,1
689.9536,1111.00317,1
690.365662,1151.1676,1
690.490356,1148.4458,1
690.5225,1024.04224,1
690.5981,1153.91943,1
690.6259,986.276062,1
690.697,1038.38184,1
691.665344,1089.09351,1
691.790344,1138.27429,1
691.9058,1007.63171,1
692.758057,1072.37451,1
692.9777,947.5288,1
693.0956,1135.37915,1
693.3817,871.096069,1
693.836853,1052.87024,1
694.193665,1005.673,1
694.2179,1169.62024,1
694.411743,1184.86438,1
694.7199,1137.97729,1
694.773865,1067.524,1
695.2006,1131.10437,1
695.2963,1095.0011,1
695.4008,894.8668,1
695.7511,1128.816,1
695.8148,1131.09363,1
695.8368,1004.87762,1
696.4192,1062.40308,1
696.5384,991.3836,1
696.6236,1054.29272,1
697.1869,1119.01123,1
697.199768,971.135437,1
697.706238,1127.62793,1
698.372131,1061.55066,1
698.4703,1119.25989,1
698.575867,987.5813,1
698.8232,1119.19141,1
698.9316,1034.49622,1
699.032166,1057.20276,1
699.413452,1046.27441,1
699.4599,1137.8042,1
699.7369,978.563,1
700.0369,1106.8374,1
700.0488,1164.03284,1
700.197754,1089.22668,1
700.6261,1043.05371,1
700.774,1172.96509,1
700.937561,1071.16589,1
700.946045,874.346741,1
701.0357,1210.87976,1
701.170837,1113.205,1
701.2982,1087.80908,1
701.480347,1064.13464,1
701.7624,1190.9635,1
701.7676,1009.11255,1
701.8557,1149.74036,1
701.8796,1049.91357,1
702.1531,1135.506,1
702.318665,1157.7948,1
702.4231,1093.52124,1
702.448242,1075.44141,1
702.5014,1048.84192,1
702.811157,1162.457,1
702.880066,1069.58875,1
702.9369,1089.578,1
703.1559,1196.72083,1
703.166138,1081.612,1
703.185242,1099.68762,1
703.4164,1205.84741,1
703.605164,1125.11658,1
703.8441,1242.44507,1
704.0861,1095.35034,1
704.2054,897.642,1
704.209351,1096.67212,1
704.300964,1175.51587,1
704.5317,1125.303,1
704.75946,1101.77563,1
704.8182,1025.87244,1
704.8934,1104.12256,1
704.97,1050.11963,1
705.3349,1155.75952,1
705.348145,1071.4043,1
705.549255,1137.42041,1
705.7092,990.5375,1
705.8269,1047.82214,1
706.1141,1152.56262,1
706.2255,1070.62488,1
706.3883,1163.6001,1
706.3946,1083.12244,1
706.5405,1015.92621,1
706.660645,1135.52856,1
706.870544,1148.481,1
706.9529,1132.7937,1
707.28186,1107.05762,1
707.39,990.5355,1
707.473633,1086.44824,1
707.4799,1065.14148,1
707.6972,1215.24634,1
707.882,1103.46448,1
707.977661,1107.053,1
708.11676,1060.06018,1
708.171,1066.52917,1
708.237366,1106.72778,1
708.6212,1133.39343,1
708.757141,1064.23816,1
708.9119,1130.52209,1
709.0796,1128.59009,1
709.1688,1037.57788,1
709.251,1000.41229,1
709.696655,1177.41089,1
709.8307,990.833,1
710.0376,1091.77148,1
710.0485,1086.32324,1
710.1625,1082.22937,1
710.2335,1180.927,1
710.2986,1184.93481,1
710.382263,1023.87421,1
710.4033,1147.457,1
710.4826,1073.91089,1
710.5306,952.1265,1
710.7476,1190.5802,1
710.950867,1151.43042,1
711.0695,888.1495,1
711.2987,1209.59778,1
711.3184,1089.92688,1
711.3261,1129.579,1
711.3758,1099.32263,1
711.403564,1104.32678,1
711.4691,1042.687,1
711.681335,1182.55811,1
711.8702,1103.33765,1
711.8859,1122.60449,1
711.9019,1048.31934,1
712.059753,1006.0321,1
712.1134,1128.76318,1
712.118652,1086.9696,1
712.1417,1074.65613,1
712.2442,1083.07373,1
712.490967,1092.16174,1
712.502441,1122.90442,1
712.519043,999.289551,1
712.5397,1174.65942,1
712.6987,1088.61243,1
712.7016,1159.64685,1
712.849365,1080.4967,1
713.1393,943.0438,1
713.16394,1098.49963,1
713.182434,1078.186,1
713.236145,1174.234,1
713.322632,997.310852,1
713.6056,1006.16772,1
713.631836,1124.49707,1
713.8224,1118.81812,1
713.8255,1143.74976,1
713.8923,1111.71753,1
714.1016,927.845642,1
714.364136,967.186951,1
714.5627,1109.89087,1
714.5811,1176.14331,1
714.5819,1117.55774,1
714.7799,1173.58142,1
715.0737,1128.34985,1
715.5885,1173.80994,1
715.6946,1109.58228,1
716.188049,1059.93188,1
716.529358,1083.80957,1
716.539063,1069.11047,1
716.6033,1085.53088,1
716.892151,1049.9856,1
717.008667,1060.3811,1
717.060364,1078.47388,1
717.1782,1123.02112,1
717.3056,1030.366,1
717.3346,1032.25952,1
717.3797,1143.37952,1
717.3988,951.567932,1
717.4927,1120.80737,1
717.53186,1029.91846,1
717.6303,1076.74634,1
717.6334,1079.97107,1
717.6851,1017.03253,1
717.6889,1179.04529,1
717.768555,1072.534,1
718.137146,1165.47949,1
718.158,1062.01868,1
718.4142,1028.76331,1
718.448242,1079.49146,1
718.6635,1063.12341,1
718.746948,1095.07971,1
718.843933,1087.74329,1
718.973633,1054.68542,1
718.9969,1077.4834,1
719.0461,1116.54468,1
719.1812,1098.23267,1
719.1874,1114.84473,1
719.254456,1100.009,1
719.686646,1138.37671,1
719.753,1070.86462,1
720.011963,1020.19031,1
720.067749,1057.95435,1
720.0809,1005.452,1
720.140747,1210.40759,1
720.2116,1105.834,1
720.311951,1027.428,1
720.324768,1147.52283,1
720.334351,1148.94568,1
720.3832,1145.61548,1
720.5892,1120.99524,1
720.5938,1177.67651,1
720.699646,1085.59436,1
720.7732,1213.86414,1
720.837769,1147.92871,1
720.838745,1093.10461,1
720.9035,1106.50208,1
720.984131,1063.32117,1
721.0137,1149.03113,1
721.174133,1099.19836,1
721.306946,1115.70166,1
721.3663,1089.668,1
721.4214,1022.79468,1
721.4967,1059.86963,1
721.50946,966.578857,1
721.5377,899.3995,1
721.572144,1190.38855,1
721.592651,1116.966,1
721.6043,1152.55615,1
721.7649,1129.81934,1
722.3228,1079.13977,1
722.3534,1175.51233,1
722.399231,1089.03149,1
722.543457,999.4175,1
722.5627,1146.0658,1
722.605347,1074.2583,1
722.709167,1063.23914,1
722.771851,978.886,1
722.9171,1127.87415,1
723.014465,1076.082,1
723.0501,1047.70618,1
723.0639,1097.87561,1
723.1352,1136.72192,1
723.158264,1074.90417,1
723.305847,1033.74023,1
723.3339,1119.21436,1
723.3374,1124.1178,1
723.366455,1228.64319,1
723.43,915.6121,1
723.5916,1139.03088,1
723.663635,1086.00134,1
723.7926,971.907043,1
723.8882,1104.49756,1
723.969849,1052.55066,1
724.042664,1076.03,1
724.0669,1162.30652,1
724.1369,1116.46509,1
724.1677,1127.12378,1
