Ch1 Amplitude,Ch2 Amplitude,Cluster
1470.4082,595.0221,1
1486.63989,553.3267,1
1521.80042,537.773743,1
1527.797,628.091064,1
1534.80383,672.357361,1
1536.37183,707.8502,1
1544.30322,683.573,1
1544.39319,677.5904,1
1544.62024,645.6963,1
1548.95813,635.180969,1
1550.39233,677.4333,1
1552.73828,696.653931,1
1554.19653,641.186768,1
1555.59265,650.7937,1
1556.03625,649.0119,1
1556.794,713.1653,1
1557.00134,652.258545,1
1557.89417,608.440552,1
1558.66956,641.0266,1
1559.30774,687.8541,1
1559.90686,697.0689,1
1562.49329,626.322,1
1562.69141,668.1509,1
1562.875,632.5714,1
1562.93713,716.2099,1
1562.95483,672.6724,1
1563.34351,661.2864,1
1563.53247,696.508057,1
1564.36365,607.3869,1
1564.49329,699.0662,1
1564.5509,602.1025,1
1565.63806,647.231934,1
1566.103,708.920044,1
1566.21521,656.0746,1
1567.248,702.3395,1
1568.12183,738.4481,1
1568.3064,693.5187,1
1568.63684,603.407349,1
1570.34021,727.3654,1
1571.04675,632.80426,1
1571.53491,674.3302,1
1572.07568,663.4392,1
1572.10242,672.9159,1
1572.19006,604.030334,1
1572.51538,653.64624,1
1572.7124,714.9288,1
1572.85364,659.224243,1
1572.98572,658.1683,1
1573.09619,611.977234,1
1573.21033,669.634949,1
1573.27454,670.1273,1
1573.73108,657.5497,1
1574.30737,663.166931,1
1574.36523,616.7005,1
1575.02808,683.3696,1
1575.5426,659.7334,1
1575.9021,633.0796,1
1575.91443,727.7634,1
1576.1521,611.646545,1
1576.31409,633.368652,1
1577.10876,743.074,1
1577.14624,631.8543,1
1577.20679,653.6653,1
1577.36279,665.789,1
1578.09851,683.6824,1
1578.12817,674.7868,1
1579.51807,711.0899,1
1579.61475,660.0371,1
1579.6637,658.8564,1
1579.68774,668.964,1
1580.01563,648.2141,1
1580.38489,749.171753,1
1580.58484,676.5325,1
1580.90332,658.558838,1
1581.31421,842.647034,1
1581.78979,728.217468,1
1581.79248,634.4446,1
1581.94983,614.2919,1
1581.99243,598.720947,1
1582.061,597.782532,1
1582.943,681.775,1
1583.309,639.076843,1
1583.3761,685.4018,1
1583.44165,664.4114,1
1583.60449,691.806946,1
1583.85376,687.7303,1
1584.09729,707.604,1
1584.84436,718.8671,1
1584.84717,629.7943,1
1585.14453,589.717651,1
1585.48865,668.6941,1
1586.19812,606.9722,1
1586.21875,692.0179,1
1586.25562,629.9785,1
1586.32983,641.648438,1
1586.36047,693.536,1
1586.39673,646.6903,1
1586.425,618.487366,1
1586.62134,651.172852,1
1586.64246,626.1666,1
1586.68311,615.5102,1
1586.76367,690.273132,1
1586.94482,695.9629,1
1587.13135,626.350769,1
1587.17993,718.6898,1
1587.367,713.523254,1
1587.50928,708.5263,1
1587.57507,776.0591,1
1587.64233,615.260437,1
1587.64746,640.1056,1
1587.718,683.706543,1
1587.73279,637.7668,1
1587.79407,670.0172,1
1587.87854,601.419556,1
1587.95264,670.414368,1
1588.093,627.063965,1
1588.17908,633.7109,1
1588.22,623.6874,1
1589.34167,609.199158,1
1589.74231,666.70575,1
1589.989,590.855042,1
1590.35828,679.522034,1
1590.40552,676.667358,1
1590.44678,681.8302,1
1590.645,687.6762,1
1590.74866,608.152954,1
1591.01563,664.165039,1
1591.05957,640.0252,1
1591.58191,647.0411,1
1591.62756,609.883,1
1591.7384,669.2439,1
1591.8009,673.3875,1
1591.83875,712.8366,1
1592.0647,663.7406,1
1592.28491,675.5044,1
1592.29419,696.2599,1
1592.34656,681.7534,1
1592.71655,801.041565,1
1592.82129,696.373047,1
1592.87378,654.6633,1
1593.01685,709.0012,1
1593.018,648.5007,1
1593.08386,673.0696,1
1593.11108,649.8383,1
1593.28064,633.4116,1
1593.29688,640.765259,1
1593.71,666.9529,1
