Ch1 Amplitude,Ch2 Amplitude,Cluster
630.0901,621.500366,1
634.7275,584.048767,1
636.228333,613.7085,1
637.2501,665.211853,1
637.3431,625.5862,1
642.262634,547.980347,1
644.8407,607.1356,1
646.4548,636.0403,1
652.1176,541.57,1
652.6567,510.896667,1
659.3843,711.4331,1
661.8414,563.8123,1
670.2686,596.3413,1
670.8122,598.316162,1
671.2442,529.988647,1
672.4792,569.5511,1
675.431641,592.4659,1
675.824463,601.422363,1
678.022034,627.762756,1
678.1371,499.851349,1
679.314941,653.695251,1
679.5285,544.290161,1
681.08606,591.164551,1
683.691833,674.3044,1
684.1342,662.2542,1
684.1772,562.0937,1
684.3572,571.8171,1
685.696045,604.3097,1
685.959839,629.071533,1
686.043335,647.4711,1
688.401855,620.8059,1
689.6899,567.5648,1
689.9938,607.3195,1
690.5256,498.077362,1
691.199,595.598938,1
691.7603,656.4882,1
692.158264,580.1145,1
692.505859,685.957764,1
692.763367,579.7864,1
694.010254,496.762573,1
694.2913,656.181335,1
695.188354,615.748047,1
695.38324,580.4458,1
695.442566,513.463867,1
695.7099,599.010742,1
696.180542,534.948853,1
696.3983,566.382935,1
697.038757,524.1779,1
698.116455,613.496033,1
698.1428,623.5487,1
698.233337,588.730835,1
698.452454,654.560364,1
699.0366,642.781433,1
699.5352,682.639954,1
699.6697,679.5412,1
700.7306,615.2506,1
700.7449,584.5315,1
701.366,610.782349,1
702.1395,657.8186,1
703.3564,604.5753,1
703.5501,621.257751,1
703.85376,540.6147,1
704.1298,553.825439,1
704.5401,547.807,1
705.386169,605.889648,1
705.6604,573.825439,1
706.3056,611.831055,1
706.705933,638.5531,1
706.8292,704.0104,1
707.0409,662.8064,1
707.043762,567.1615,1
707.5496,510.441925,1
707.773254,686.100952,1
707.900757,613.4065,1
707.919,535.6314,1
707.96344,648.573,1
708.0768,578.913757,1
708.1381,606.513245,1
708.2115,536.561646,1
708.942566,594.9566,1
709.2497,641.6499,1
709.611938,660.0246,1
710.0201,646.7399,1
710.3887,641.00946,1
710.4742,656.412354,1
710.707031,702.980469,1
711.3433,712.5782,1
711.4541,526.718933,1
711.7782,650.5055,1
712.2855,705.546143,1
712.635437,703.6111,1
712.8078,551.7119,1
712.937744,727.194153,1
713.184753,606.5348,1
713.6051,676.089,1
714.1456,596.7707,1
714.288452,603.865967,1
716.006958,656.846252,1
716.074036,524.252136,1
716.271057,746.868652,1
716.304,476.4817,1
717.04895,534.431946,1
717.3729,585.369568,1
717.5366,518.671936,1
717.7956,704.6095,1
718.2019,631.935364,1
718.310852,517.489258,1
718.340149,525.2307,1
719.1901,597.5029,1
719.3031,647.449341,1
719.4089,696.477661,1
719.7718,551.75,1
719.779358,514.4073,1
720.33136,742.608,1
720.378357,615.2559,1
720.7014,614.2018,1
720.910339,712.6056,1
721.009766,571.079468,1
721.3819,567.440552,1
721.471069,621.498535,1
721.4943,565.9405,1
721.5633,658.2281,1
721.6655,608.8363,1
721.6981,663.4182,1
722.0924,642.6379,1
722.110535,600.3965,1
722.963867,589.0926,1
723.235535,606.6863,1
723.290039,669.5999,1
723.349365,661.1795,1
723.3945,606.9185,1
723.9722,633.204468,1
724.0973,719.892639,1
724.3248,608.5303,1
724.334839,572.001343,1
724.3759,638.987732,1
724.4455,604.2779,1
724.522156,651.814331,1
724.5477,603.734,1
724.97345,656.7099,1
725.909,525.363,1
725.9126,638.972534,1
726.4498,615.401855,1
726.7946,584.465759,1
726.8726,563.3854,1
726.9444,694.2067,1
727.0023,612.8228,1
727.1209,641.3687,1
727.139,613.9393,1
727.3482,537.7978,1
727.3728,585.6833,1
727.379333,616.3326,1
727.746338,594.479065,1
728.0465,567.877563,1
728.0476,723.3114,1
728.1085,508.9956,1
728.601746,574.864441,1
728.6599,740.518,1
728.670959,582.4385,1
728.7036,548.6614,1
728.7064,610.41864,1
728.829,599.6853,1
729.2312,642.867737,1
729.6209,569.3988,1
729.7857,567.655334,1
729.8265,596.143,1
729.8882,525.690552,1
729.9188,526.372864,1
730.1209,570.0731,1
730.1541,648.2567,1
730.1892,599.3681,1
731.8742,592.252,1
731.8899,561.3432,1
731.930847,558.9275,1
732.4769,689.001,1
732.5347,660.519836,1
732.7823,615.98584,1
732.7825,617.1099,1
732.839355,571.357239,1
733.016663,634.265564,1
733.127747,699.817749,1
733.1288,577.1945,1
733.203247,549.01416,1
733.3705,701.958069,1
733.457458,605.0458,1
733.503662,550.2498,1
733.6918,625.065857,1
733.699158,600.7404,1
733.7604,579.6217,1
733.9298,598.2436,1
734.189148,539.716248,1
734.2771,633.1611,1
734.8474,642.19635,1
735.0193,512.6433,1
735.2247,577.2513,1
735.269653,644.6879,1
735.362,576.0432,1
735.5215,574.4623,1
735.5768,580.2486,1
735.6748,653.3157,1
735.890259,579.1756,1
735.9595,712.138367,1
736.0934,570.970032,1
736.106567,619.7653,1
736.1447,714.9988,1
736.2437,613.4645,1
736.3294,622.5298,1
736.726135,615.448242,1
736.7619,594.307556,1
737.0148,600.7494,1
737.036,600.356262,1
737.220154,723.802856,1
737.4476,694.7556,1
737.727661,608.877747,1
737.7308,595.4443,1
737.801453,689.336243,1
737.8621,495.908752,1
737.9823,577.812866,1
738.090149,621.8794,1
738.239,645.320557,1
738.4511,665.7081,1
738.7961,625.257568,1
738.8084,726.614868,1
739.071655,634.8577,1
739.0781,681.363159,1
739.1978,541.3506,1
739.334961,663.2845,1
739.4257,725.5606,1
739.439,757.6737,1
739.8433,564.9078,1
740.0611,611.0952,1
740.20105,605.679138,1
740.207153,601.1588,1
740.224731,539.734863,1
740.236,640.6907,1
740.2516,594.3664,1
740.552063,580.8809,1
740.6933,650.209351,1
740.86615,662.7205,1
740.9729,625.786438,1
741.1502,665.8103,1
741.1736,515.938232,1
741.286,630.145569,1
741.3152,529.853333,1
741.699341,533.163269,1
741.8359,660.6021,1
741.9639,638.3431,1
742.3328,597.173157,1
742.4235,673.4968,1
742.542847,664.4186,1
742.5688,610.3927,1
742.6829,573.1282,1
742.7854,653.2512,1
742.9315,621.242737,1
743.72345,624.1143,1
743.7763,645.4022,1
743.924866,537.6528,1
743.986633,607.218,1
744.391357,637.4529,1
744.4269,686.3299,1
744.441956,710.932556,1
744.593445,681.581665,1
744.6856,556.176147,1
744.709656,598.6046,1
744.886,601.253,1
744.932556,626.637634,1
745.0139,657.0263,1
745.1996,668.121643,1
745.369446,587.7543,1
745.393555,589.6312,1
745.5216,606.658264,1
745.534851,645.8547,1
745.599548,696.6017,1
745.6135,656.8559,1
745.7496,556.8725,1
745.7517,595.781555,1
745.755249,600.573547,1
745.8306,583.6574,1
745.9574,594.388245,1
746.046265,590.3058,1
746.062134,693.7878,1
746.078857,641.751648,1
746.18634,593.7607,1
746.4004,685.0835,1
746.542358,634.942566,1
746.6087,562.158569,1
746.6861,655.714539,1
746.7999,664.109558,1
747.181641,598.235168,1
747.223,648.016846,1
747.237732,667.727234,1
747.3701,606.2786,1
747.395,671.4029,1
747.7222,502.9755,1
747.732056,534.914368,1
747.8778,615.7002,1
747.9522,634.1268,1
748.0413,672.917542,1
748.054565,627.432068,1
748.125732,516.1208,1
748.2102,614.5162,1
748.2771,650.847656,1
748.3021,526.1358,1
748.3959,467.246063,1
748.415344,630.699341,1
748.417969,573.665833,1
748.5189,681.8578,1
748.608032,630.9279,1
748.622742,686.590942,1
748.675842,601.5564,1
748.8169,711.3973,1
749.188232,557.610168,1
749.3282,642.0183,1
749.395142,676.247864,1
749.4083,577.843933,1
749.605,643.5077,1
749.6599,604.250244,1
749.7751,702.3853,1
749.775269,625.9109,1
749.861755,731.2394,1
749.9415,771.1502,1
749.997,539.9616,1
750.188,612.1173,1
750.320862,544.1039,1
750.382446,603.7207,1
750.4486,603.9902,1
750.488953,602.0884,1
750.78125,571.938538,1
750.917542,692.850769,1
750.9812,575.1168,1
751.0001,654.4454,1
751.017334,575.8826,1
751.050354,730.2135,1
751.1202,713.0357,1
751.159058,629.880432,1
751.162354,585.5767,1
751.281067,650.6426,1
751.294434,526.9026,1
751.882935,657.491333,1
751.8978,623.6599,1
752.0265,578.2131,1
752.043457,634.478149,1
752.0679,685.481445,1
752.093262,656.604431,1
752.177368,704.332947,1
752.4418,606.1051,1
752.4735,555.4348,1
752.490967,602.5101,1
752.5972,659.995544,1
752.62915,730.3523,1
752.645142,517.561646,1
752.6571,730.212036,1
752.9757,586.095032,1
753.1905,688.815735,1
753.282,653.6871,1
753.3251,509.8256,1
753.3724,639.742,1
753.4054,541.844543,1
753.4057,560.627258,1
753.4378,624.3908,1
753.5667,695.8943,1
753.7171,518.414734,1
753.777466,698.3044,1
753.8689,563.125854,1
753.8803,631.7752,1
753.8944,600.585449,1
753.94165,713.480469,1
754.103,644.299438,1
754.113953,709.2104,1
754.4362,760.8928,1
754.4372,689.3088,1
754.4684,550.245,1
754.4755,692.198242,1
754.493469,578.284668,1
754.5529,635.4232,1
754.808,623.67865,1
754.8124,595.4185,1
754.8231,695.073059,1
755.037,628.8031,1
755.3661,641.4976,1
755.3677,667.1038,1
755.4439,660.945,1
755.4456,557.1872,1
755.472168,585.5721,1
755.4727,612.5041,1
755.493347,612.6012,1
755.5042,598.5142,1
755.5416,532.923645,1
755.6982,673.836365,1
755.736633,701.0867,1
755.8258,638.1847,1
755.9637,721.677,1
756.0448,519.4023,1
756.15155,701.8427,1
756.2063,767.849365,1
756.232239,590.3406,1
756.4,655.318054,1
756.4214,662.1663,1
756.499939,710.5653,1
756.5074,607.5142,1
756.5834,667.2606,1
756.7134,746.9674,1
756.8036,658.0533,1
756.9578,527.1885,1
756.998,593.7632,1
757.057251,635.501038,1
757.1332,627.7856,1
757.165649,623.016541,1
757.1719,631.833435,1
757.1912,576.9887,1
757.2602,633.2072,1
757.45166,672.6743,1
757.493835,521.9147,1
757.5384,555.658142,1
757.6714,673.886,1
757.7596,599.153,1
757.8076,629.7397,1
757.886,613.471741,1
757.913,535.6698,1
758.076538,611.1226,1
758.16,641.720459,1
758.5831,549.3344,1
758.62854,671.617554,1
758.6498,604.311157,1
758.7219,762.8739,1
758.844055,676.5023,1
758.8733,586.0341,1
758.912537,733.5784,1
758.969666,709.59375,1
759.0811,689.4649,1
759.111633,663.681,1
759.1404,600.438,1
759.2516,700.841858,1
759.3386,593.034363,1
759.3678,599.5174,1
759.5365,622.582,1
759.589355,570.499939,1
759.714844,722.892334,1
759.781738,609.3507,1
759.9264,669.5825,1
759.967041,575.222168,1
760.0416,542.04,1
760.1931,576.0884,1
760.3064,565.259033,1
760.4368,583.47876,1
760.482,554.157166,1
760.5303,602.832458,1
760.703735,597.4997,1
760.745544,602.724854,1
760.8738,695.8198,1
760.927856,740.692566,1
760.988037,603.716858,1
760.998352,698.610535,1
761.020142,568.943237,1
761.1422,609.5117,1
761.1782,672.4419,1
761.1889,624.6229,1
761.257935,566.2489,1
761.2805,588.76886,1
761.451233,514.0562,1
761.454468,721.1498,1
761.472656,612.860352,1
761.501,640.9281,1
761.5135,740.116638,1
761.731567,591.9214,1
761.7477,668.656067,1
761.823059,661.8361,1
761.9171,659.724548,1
761.9498,675.4346,1
761.9753,548.6393,1
762.1334,678.3576,1
762.151733,628.177,1
762.1996,615.1586,1
762.280762,652.8087,1
762.3184,655.550537,1
