Ch1 Amplitude,Ch2 Amplitude,Cluster
1541.26233,661.7014,1
1542.76306,694.1952,1
1550.303,666.7539,1
1560.891,616.058167,1
1565.67383,664.8854,1
1571.85669,582.003052,1
1577.64771,767.374146,1
1580.16174,590.9966,1
1580.19812,705.2455,1
1582.558,656.6356,1
1584.316,701.122437,1
1585.46094,701.581848,1
1587.60132,675.676331,1
1589.25659,741.907654,1
1590.72949,639.7847,1
1590.74841,658.5003,1
1593.95166,696.636963,1
1594.98535,676.519531,1
1597.06787,650.9257,1
1598.06567,622.758,1
1598.40991,676.2787,1
1601.39612,668.6758,1
1602.02429,643.052246,1
1603.063,717.0578,1
1603.39587,643.9111,1
1603.43579,669.7472,1
1603.81665,610.0711,1
1604.62585,747.1218,1
1606.5874,641.057251,1
1606.91309,660.0482,1
1607.31946,682.0146,1
1607.64465,654.216431,1
1608.19434,667.733459,1
1608.96655,668.4622,1
1609.57544,774.087,1
1609.84924,710.2471,1
1610.12329,657.457764,1
1611.65576,670.3098,1
1612.81763,677.5294,1
1613.282,768.78186,1
1614.771,719.322632,1
1615.54651,686.0997,1
1616.38843,725.8379,1
1616.43713,679.860168,1
1617.06445,753.7005,1
1618.275,683.0834,1
1618.40381,604.193359,1
1618.59888,647.922546,1
1619.02832,664.248352,1
1619.18457,635.5396,1
1619.71887,609.8678,1
1619.80725,662.9662,1
1619.90613,634.03656,1
1620.4292,665.0464,1
1620.68115,709.9674,1
1620.90417,653.6026,1
1621.37939,644.136169,1
1623.45532,665.5138,1
1624.05591,662.5862,1
1624.25732,675.3066,1
1624.56482,663.832947,1
1624.68921,665.7879,1
1624.91174,676.061951,1
1625.22278,701.7547,1
1625.65747,640.8357,1
1625.689,699.112366,1
1625.839,695.1735,1
1626.05457,724.04,1
1626.4657,648.5195,1
1626.5,802.3695,1
1626.59216,716.288147,1
1626.92688,640.1251,1
1627.39172,666.1083,1
1627.55676,704.6979,1
1627.69861,518.404663,1
1628.02185,671.8729,1
1628.67578,675.187134,1
1628.82324,681.985,1
1629.22632,706.040344,1
1629.59619,767.298645,1
1629.7074,624.237,1
1629.76147,693.9708,1
1629.94385,646.2954,1
1630.408,913.947266,1
1630.46057,634.575256,1
1630.75867,697.5109,1
1632.39966,659.276,1
1632.46082,572.5418,1
1632.7063,669.3448,1
1633.17639,700.204468,1
1633.37683,612.0347,1
1633.588,730.962341,1
1634.03845,651.166931,1
1634.48315,678.018738,1
1634.62415,666.006042,1
1634.83325,736.3096,1
1634.83948,636.1255,1
1634.90967,658.207764,1
1635.01038,682.941345,1
1635.31,712.042969,1
1635.47119,675.594238,1
1635.54919,707.940735,1
1635.65332,644.7948,1
1636.14087,682.463257,1
1636.20264,676.5013,1
1636.65186,663.8176,1
1637.04773,682.8283,1
1637.43188,628.626038,1
1637.504,712.838257,1
1637.6062,637.1417,1
1637.62976,651.7038,1
1638.21191,696.695557,1
1638.98438,701.9764,1
1639.01575,607.1095,1
1639.018,679.375244,1
